neighbourhood,price per night,price per year
Bedford-Stuyvesant,85,31025
Upper West Side,300,109500
Harlem,79,28835
Williamsburg,90,32850
Upper West Side,99,36135
Chelsea,50,18250
Prospect-Lefferts Gardens,46,16790
South Slope,325,118625
New Springville,68,24820
SoHo,198,72270
Bedford-Stuyvesant,100,36500
Williamsburg,175,63875
West Village,130,47450
Greenwich Village,180,65700
Prospect Heights,209,76285
Upper West Side,150,54750
Lower East Side,104,37960
East Village,175,63875
Upper East Side,80,29200
Bushwick,68,24820
East Village,72,26280
Astoria,107,39055
East Village,150,54750
Morris Heights,45,16425
Bedford-Stuyvesant,49,17885
Flatbush,349,127385
Upper West Side,185,67525
Kips Bay,145,52925
Williamsburg,96,35040
Bushwick,120,43800
East Village,160,58400
Brooklyn Heights,800,292000
Crown Heights,349,127385
Long Island City,350,127750
Prospect Heights,125,45625
Boerum Hill,350,127750
Bedford-Stuyvesant,150,54750
Bushwick,180,65700
Chelsea,200,73000
Fort Greene,99,36135
Chelsea,130,47450
Williamsburg,150,54750
Kensington,90,32850
Williamsburg,95,34675
Ridgewood,70,25550
Upper East Side,82,29930
Bedford-Stuyvesant,250,91250
Harlem,90,32850
Woodside,75,27375
Clinton Hill,160,58400
Harlem,115,41975
South Slope,150,54750
Williamsburg,89,32485
Rego Park,69,25185
Chelsea,170,62050
South Slope,375,136875
East Village,118,43070
Chelsea,135,49275
Concourse,250,91250
Greenpoint,200,73000
Nolita,150,54750
East Harlem,50,18250
Prospect Heights,60,21900
Harlem,100,36500
Flatiron District,265,96725
Upper East Side,90,32850
Upper East Side,175,63875
Sunset Park,36,13140
Upper West Side,250,91250
Harlem,220,80300
Upper West Side,93,33945
Crown Heights,275,100375
Astoria,109,39785
Williamsburg,450,164250
Greenwich Village,165,60225
Prospect-Lefferts Gardens,80,29200
Greenwich Village,295,107675
Williamsburg,280,102200
Nolita,300,109500
East Village,99,36135
Bedford-Stuyvesant,175,63875
Chelsea,225,82125
Chelsea,230,83950
Prospect Heights,90,32850
Upper West Side,102,37230
Bushwick,59,21535
East Village,195,71175
Astoria,150,54750
Washington Heights,170,62050
Hell's Kitchen,217,79205
Harlem,185,67525
Little Italy,58,21170
Williamsburg,189,68985
East Village,88,32120
Hell's Kitchen,195,71175
Ridgewood,110,40150
Sunset Park,120,43800
Greenwich Village,79,28835
Upper East Side,110,40150
Clinton Hill,200,73000
Prospect-Lefferts Gardens,69,25185
Flushing,55,20075
Brooklyn Heights,135,49275
Financial District,500,182500
Flatbush,90,32850
Clinton Hill,135,49275
Greenpoint,199,72635
East Village,90,32850
Upper East Side,160,58400
Windsor Terrace,65,23725
Upper West Side,210,76650
Chelsea,399,145635
Lower East Side,300,109500
Crown Heights,185,67525
Harlem,220,80300
Prospect Heights,121,44165
Inwood,120,43800
Park Slope,152,55480
Gowanus,250,91250
East Village,99,36135
Greenpoint,104,37960
Greenpoint,120,43800
East Village,295,107675
Carroll Gardens,90,32850
West Village,197,71905
Greenwich Village,145,52925
Upper West Side,90,32850
Chelsea,125,45625
Hell's Kitchen,190,69350
Upper West Side,76,27740
Bedford-Stuyvesant,50,18250
East Village,107,39055
Bedford-Stuyvesant,80,29200
Bedford-Stuyvesant,150,54750
Bushwick,110,40150
Bushwick,115,41975
East Village,151,55115
Fort Greene,130,47450
Crown Heights,180,65700
Crown Heights,95,34675
Harlem,79,28835
Bedford-Stuyvesant,60,21900
East Flatbush,133,48545
Upper West Side,120,43800
Williamsburg,120,43800
Harlem,700,255500
Hell's Kitchen,165,60225
Upper West Side,165,60225
Ditmars Steinway,54,19710
East Village,100,36500
Crown Heights,80,29200
Chinatown,96,35040
Park Slope,159,58035
South Slope,50,18250
East Harlem,75,27375
Clinton Hill,155,56575
Greenpoint,150,54750
Arverne,92,33580
Greenpoint,75,27375
Astoria,69,25185
Carroll Gardens,115,41975
East Village,120,43800
Hell's Kitchen,120,43800
Greenwich Village,215,78475
Crown Heights,195,71175
Greenpoint,175,63875
Crown Heights,80,29200
Williamsburg,48,17520
West Village,200,73000
Williamsburg,275,100375
Gravesend,72,26280
SoHo,199,72635
Williamsburg,250,91250
Harlem,75,27375
SoHo,125,45625
Tribeca,229,83585
Brooklyn Heights,175,63875
Bedford-Stuyvesant,140,51100
Bedford-Stuyvesant,54,19710
Ridgewood,75,27375
Upper East Side,110,40150
Murray Hill,165,60225
Inwood,55,20075
Inwood,55,20075
West Village,300,109500
Chelsea,275,100375
Greenwich Village,331,120815
Williamsburg,77,28105
Washington Heights,60,21900
Brooklyn Heights,129,47085
Sunnyside,100,36500
Park Slope,120,43800
Williamsburg,500,182500
Upper West Side,179,65335
Clinton Hill,149,54385
Williamsburg,180,65700
Prospect Heights,100,36500
Boerum Hill,180,65700
Greenpoint,128,46720
Prospect Heights,260,94900
Cambria Heights,55,20075
Park Slope,65,23725
Upper East Side,200,73000
Hell's Kitchen,249,90885
Gowanus,300,109500
East Harlem,120,43800
Upper West Side,120,43800
Prospect Heights,125,45625
Elmhurst,99,36135
Bushwick,115,41975
Bushwick,275,100375
Gowanus,198,72270
East Village,199,72635
Cambria Heights,45,16425
Upper West Side,125,45625
Harlem,80,29200
Tribeca,130,47450
Cypress Hills,35,12775
Williamsburg,90,32850
Williamsburg,250,91250
Crown Heights,115,41975
Prospect Heights,200,73000
Williamsburg,64,23360
Bedford-Stuyvesant,65,23725
Astoria,175,63875
Hell's Kitchen,90,32850
Crown Heights,85,31025
Midtown,150,54750
Kips Bay,50,18250
Harlem,136,49640
Williamsburg,400,146000
Prospect-Lefferts Gardens,125,45625
East Village,165,60225
Williamsburg,180,65700
Harlem,105,38325
Hell's Kitchen,148,54020
Fort Greene,120,43800
Gramercy,99,36135
East Village,175,63875
Williamsburg,85,31025
Upper East Side,80,29200
Bedford-Stuyvesant,119,43435
Long Island City,89,32485
SoHo,195,71175
Upper West Side,1000,365000
Greenwich Village,225,82125
Williamsburg,165,60225
Windsor Terrace,60,21900
West Village,165,60225
Bushwick,80,29200
Sunnyside,52,18980
Nolita,160,58400
Crown Heights,110,40150
Upper West Side,60,21900
Tottenville,299,109135
East Village,200,73000
West Village,700,255500
Cobble Hill,120,43800
East Harlem,65,23725
Hell's Kitchen,263,95995
Bedford-Stuyvesant,120,43800
Upper West Side,150,54750
Inwood,60,21900
Williamsburg,350,127750
Tompkinsville,71,25915
Harlem,433,158045
Harlem,79,28835
Hell's Kitchen,140,51100
Astoria,61,22265
Midtown,100,36500
Nolita,250,91250
Harlem,145,52925
Bedford-Stuyvesant,45,16425
Williamsburg,73,26645
Prospect Heights,150,54750
NoHo,234,85410
East Village,150,54750
Gramercy,65,23725
Williamsburg,195,71175
Chelsea,135,49275
Crown Heights,90,32850
SoHo,595,217175
Gramercy,109,39785
Clinton Hill,200,73000
Midtown,90,32850
Kips Bay,100,36500
Hell's Kitchen,85,31025
Kips Bay,87,31755
Upper West Side,95,34675
Upper West Side,349,127385
East Village,99,36135
Hell's Kitchen,160,58400
Chinatown,149,54385
Crown Heights,60,21900
Midtown,285,104025
Kensington,72,26280
West Village,150,54750
Columbia St,200,73000
Upper East Side,79,28835
Upper West Side,197,71905
Bedford-Stuyvesant,75,27375
Gramercy,127,46355
East Harlem,110,40150
Ridgewood,69,25185
Williamsburg,100,36500
Hell's Kitchen,99,36135
Williamsburg,139,50735
Upper West Side,113,41245
Chelsea,250,91250
Kips Bay,295,107675
Upper West Side,2000,730000
Hell's Kitchen,220,80300
East Village,75,27375
Williamsburg,100,36500
Williamsburg,199,72635
Chelsea,200,73000
Flatbush,140,51100
Inwood,50,18250
Bushwick,45,16425
Gowanus,109,39785
East Harlem,108,39420
Bushwick,42,15330
Crown Heights,70,25550
Upper East Side,141,51465
Fort Greene,355,129575
Bedford-Stuyvesant,80,29200
Canarsie,250,91250
Ridgewood,75,27375
West Village,88,32120
Kips Bay,65,23725
Jamaica,58,21170
Ditmars Steinway,75,27375
Astoria,100,36500
Lower East Side,167,60955
Ridgewood,65,23725
Harlem,125,45625
Upper West Side,95,34675
Mariners Harbor,54,19710
Flatlands,89,32485
East Harlem,92,33580
Chelsea,199,72635
West Village,179,65335
Long Island City,65,23725
Harlem,55,20075
Murray Hill,129,47085
Murray Hill,134,48910
East New York,35,12775
Upper East Side,250,91250
Clinton Hill,249,90885
East Elmhurst,62,22630
Upper West Side,119,43435
South Slope,179,65335
Fort Greene,220,80300
Williamsburg,198,72270
Crown Heights,155,56575
Williamsburg,199,72635
East Village,95,34675
Park Slope,550,200750
Bushwick,60,21900
Williamsburg,380,138700
Bushwick,84,30660
Upper West Side,165,60225
East Village,105,38325
Fort Greene,134,48910
Bedford-Stuyvesant,68,24820
East Village,73,26645
Park Slope,150,54750
Upper West Side,100,36500
Hell's Kitchen,75,27375
Midtown,120,43800
Bedford-Stuyvesant,85,31025
Inwood,55,20075
Nolita,95,34675
Chelsea,72,26280
West Village,250,91250
Cobble Hill,69,25185
Prospect Heights,78,28470
Williamsburg,220,80300
SoHo,230,83950
Bedford-Stuyvesant,150,54750
Fort Greene,80,29200
Williamsburg,150,54750
Park Slope,150,54750
Upper West Side,900,328500
East Village,130,47450
Prospect-Lefferts Gardens,70,25550
Woodside,120,43800
Concord,75,27375
Sunset Park,100,36500
Williamsburg,69,25185
East Village,399,145635
Harlem,299,109135
Upper West Side,100,36500
Jackson Heights,68,24820
Borough Park,103,37595
Lower East Side,175,63875
Greenpoint,330,120450
Chelsea,425,155125
East Village,240,87600
Concord,75,27375
Carroll Gardens,210,76650
Clinton Hill,175,63875
Williamsburg,85,31025
Woodside,120,43800
Woodside,120,43800
Bedford-Stuyvesant,75,27375
West Village,495,180675
Williamsburg,65,23725
Allerton,39,14235
Fort Greene,93,33945
Williamsburg,146,53290
Crown Heights,120,43800
Harlem,79,28835
Crown Heights,100,36500
Upper West Side,120,43800
Harlem,150,54750
East Village,144,52560
Crown Heights,60,21900
Harlem,350,127750
Bedford-Stuyvesant,85,31025
Upper West Side,195,71175
Upper East Side,200,73000
Lower East Side,169,61685
Harlem,95,34675
Flatiron District,375,136875
Crown Heights,168,61320
Crown Heights,50,18250
Williamsburg,129,47085
Astoria,245,89425
Greenpoint,199,72635
Greenpoint,199,72635
Williamsburg,99,36135
Brooklyn Heights,160,58400
Williamsburg,65,23725
Harlem,70,25550
Harlem,80,29200
Hell's Kitchen,100,36500
Borough Park,70,25550
West Village,200,73000
Sunset Park,66,24090
Upper East Side,200,73000
Williamsburg,95,34675
Chelsea,140,51100
Harlem,65,23725
Midtown,106,38690
Upper West Side,155,56575
East Village,249,90885
East Village,120,43800
Greenpoint,52,18980
East Village,75,27375
Williamsburg,195,71175
Arrochar,625,228125
Upper West Side,171,62415
Upper West Side,185,67525
Long Island City,55,20075
Bushwick,50,18250
Kips Bay,120,43800
Tribeca,210,76650
East Village,133,48545
Brighton Beach,73,26645
West Village,350,127750
Tribeca,259,94535
Inwood,97,35405
Nolita,199,72635
Morningside Heights,125,45625
Fort Greene,100,36500
Canarsie,39,14235
Nolita,125,45625
Harlem,150,54750
Midtown,170,62050
Little Italy,199,72635
Harlem,80,29200
Park Slope,125,45625
Chelsea,155,56575
Gramercy,120,43800
Williamsburg,220,80300
Bedford-Stuyvesant,90,32850
Crown Heights,61,22265
East Village,179,65335
Flushing,108,39420
Clinton Hill,575,209875
Upper West Side,99,36135
Williamsburg,175,63875
Flatbush,110,40150
Park Slope,250,91250
Bedford-Stuyvesant,100,36500
Greenwich Village,200,73000
Astoria,89,32485
Chinatown,400,146000
Windsor Terrace,149,54385
SoHo,500,182500
East Village,95,34675
Bedford-Stuyvesant,125,45625
Upper West Side,80,29200
Bedford-Stuyvesant,105,38325
Long Island City,39,14235
Allerton,49,17885
Greenwich Village,187,68255
Bushwick,55,20075
Prospect Heights,250,91250
Midtown,125,45625
Clinton Hill,100,36500
Bedford-Stuyvesant,175,63875
Clinton Hill,50,18250
Midtown,133,48545
Upper East Side,155,56575
Astoria,140,51100
Astoria,80,29200
Bushwick,103,37595
Upper West Side,600,219000
Flatbush,70,25550
Williamsburg,75,27375
Flatbush,55,20075
East Harlem,50,18250
Ditmars Steinway,390,142350
Crown Heights,82,29930
Williamsburg,52,18980
Williamsburg,115,41975
Bayside,299,109135
Downtown Brooklyn,175,63875
Williamsburg,100,36500
Hell's Kitchen,95,34675
Astoria,55,20075
Bushwick,45,16425
Williamsburg,165,60225
Chelsea,105,38325
Williamsburg,200,73000
Washington Heights,65,23725
East Village,100,36500
Williamsburg,312,113880
Flatiron District,195,71175
Upper West Side,100,36500
Prospect Heights,155,56575
Ditmars Steinway,250,91250
Hell's Kitchen,165,60225
East Harlem,120,43800
Allerton,38,13870
Bedford-Stuyvesant,200,73000
Fort Greene,90,32850
Upper East Side,85,31025
Flushing,55,20075
West Village,350,127750
East Village,59,21535
Harlem,280,102200
Long Island City,69,25185
Williamsburg,230,83950
Williamsburg,200,73000
Flatbush,150,54750
Bedford-Stuyvesant,75,27375
Upper West Side,120,43800
West Village,140,51100
Upper West Side,200,73000
Civic Center,225,82125
Fort Greene,145,52925
Port Morris,60,21900
Bedford-Stuyvesant,119,43435
West Village,189,68985
West Village,190,69350
Lower East Side,69,25185
Long Island City,70,25550
Williamsburg,155,56575
Bedford-Stuyvesant,149,54385
West Village,160,58400
Williamsburg,100,36500
Lower East Side,220,80300
Washington Heights,85,31025
East Village,135,49275
Prospect-Lefferts Gardens,45,16425
Harlem,225,82125
Harlem,100,36500
Williamsburg,145,52925
West Village,210,76650
Prospect Heights,195,71175
Nolita,95,34675
West Village,140,51100
Harlem,95,34675
Upper West Side,295,107675
Washington Heights,80,29200
East Village,250,91250
Fieldston,60,21900
Upper East Side,150,54750
Lower East Side,159,58035
Williamsburg,225,82125
Harlem,78,28470
Upper West Side,210,76650
Bedford-Stuyvesant,60,21900
Greenwich Village,220,80300
Windsor Terrace,199,72635
Windsor Terrace,225,82125
Upper West Side,350,127750
Inwood,65,23725
Chelsea,225,82125
Prospect-Lefferts Gardens,82,29930
East Village,75,27375
Ditmars Steinway,60,21900
Upper East Side,105,38325
Bushwick,115,41975
Upper East Side,150,54750
South Slope,65,23725
Crown Heights,150,54750
Williamsburg,101,36865
Gramercy,130,47450
Bedford-Stuyvesant,165,60225
Upper East Side,175,63875
Harlem,115,41975
Fort Greene,128,46720
Kips Bay,116,42340
Washington Heights,192,70080
Prospect Heights,150,54750
Williamsburg,163,59495
Fort Greene,40,14600
Williamsburg,200,73000
Lower East Side,158,57670
Park Slope,115,41975
Harlem,85,31025
Upper West Side,173,63145
Crown Heights,250,91250
NoHo,465,169725
Williamsburg,275,100375
Chinatown,195,71175
Clinton Hill,63,22995
Washington Heights,36,13140
Carroll Gardens,130,47450
Boerum Hill,200,73000
Greenpoint,85,31025
Long Island City,150,54750
Elmhurst,45,16425
Elmhurst,45,16425
Williamsburg,79,28835
Williamsburg,149,54385
East Village,200,73000
Harlem,85,31025
Kew Gardens,60,21900
Hell's Kitchen,139,50735
Williamsburg,160,58400
East Harlem,95,34675
Williamsburg,80,29200
Clinton Hill,250,91250
Chelsea,349,127385
Harlem,165,60225
Boerum Hill,119,43435
West Village,240,87600
Bedford-Stuyvesant,79,28835
Bedford-Stuyvesant,215,78475
Kensington,49,17885
Park Slope,190,69350
Chelsea,99,36135
Fort Greene,68,24820
Park Slope,185,67525
Lower East Side,225,82125
Upper East Side,81,29565
East Village,199,72635
Bushwick,55,20075
West Village,340,124100
Harlem,135,49275
Sunnyside,85,31025
Bushwick,65,23725
Washington Heights,100,36500
Crown Heights,109,39785
Greenwich Village,290,105850
Harlem,35,12775
Kips Bay,148,54020
Flushing,57,20805
Upper East Side,150,54750
Harlem,60,21900
Harlem,60,21900
East Harlem,45,16425
Harlem,60,21900
Clinton Hill,125,45625
Harlem,60,21900
Bedford-Stuyvesant,75,27375
East Village,121,44165
Clinton Hill,89,32485
Greenpoint,300,109500
Greenpoint,110,40150
Greenpoint,99,36135
Downtown Brooklyn,170,62050
Crown Heights,90,32850
Chelsea,179,65335
Harlem,80,29200
Harlem,65,23725
Lower East Side,69,25185
Bushwick,42,15330
Williamsburg,70,25550
Park Slope,155,56575
Upper East Side,135,49275
Greenwich Village,120,43800
Gowanus,135,49275
Tompkinsville,47,17155
Harlem,69,25185
Crown Heights,100,36500
Bedford-Stuyvesant,51,18615
Prospect Heights,4000,1460000
Chelsea,65,23725
Clinton Hill,60,21900
Prospect-Lefferts Gardens,70,25550
Gramercy,130,47450
Bedford-Stuyvesant,70,25550
Clinton Hill,200,73000
Prospect Heights,150,54750
Washington Heights,130,47450
Midwood,68,24820
East Village,79,28835
Upper West Side,149,54385
Bushwick,120,43800
Upper East Side,250,91250
Upper West Side,175,63875
Washington Heights,40,14600
Greenpoint,55,20075
Lower East Side,99,36135
Williamsburg,500,182500
Chelsea,240,87600
College Point,400,146000
Upper East Side,280,102200
Tribeca,235,85775
East Village,130,47450
Bedford-Stuyvesant,96,35040
Long Island City,63,22995
Sunset Park,150,54750
Williamsburg,200,73000
Prospect Heights,90,32850
Midtown,269,98185
East Village,80,29200
Prospect Heights,80,29200
West Village,400,146000
Greenwich Village,349,127385
East Village,495,180675
Prospect Heights,85,31025
Bushwick,85,31025
Chelsea,999,364635
Chelsea,109,39785
Lower East Side,175,63875
Chinatown,150,54750
Williamsburg,80,29200
Upper West Side,150,54750
Hell's Kitchen,175,63875
